PERMNO,date,PRC,RET
86755,20081006,34.86,-0.036484
86755,20081007,32.65,-0.063396
86755,20081008,32.39,-0.007963
86755,20081009,31.52,-0.02686
86755,20081010,31.32,-0.006345
86755,20081013,35.13,0.121648
86755,20081014,33.61,-0.043268
86755,20081015,30.6,-0.089557
86755,20081016,32.26,0.054248
86755,20081017,32.3,0.00124
86755,20081020,33.2,0.027864
86755,20081021,31.48,-0.051807
86755,20081022,30.61,-0.027637
86755,20081023,30.49,-0.00392
86755,20081024,29.51,-0.032142
86755,20081027,28.69,-0.027787
86755,20081028,31.86,0.110491
86755,20081029,31.78,-0.002511
86755,20081030,32.84,0.033354
86755,20081031,32.89,0.001523
86755,20081103,32.82,-0.002128
86755,20081104,33.75,0.028336
86755,20081105,31.99,-0.052148
86755,20081106,30.56,-0.044701
86755,20081107,31.19,0.020615
86755,20081110,30.77,-0.013466
86755,20081111,30.1,-0.021774
86755,20081112,28.71,-0.046179
86755,20081113,30.46,0.060954
86755,20081114,28.98,-0.048588
86755,20081117,28.37,-0.021049
86755,20081118,28.34,-0.001057
86755,20081119,26.86,-0.052223
86755,20081120,25.56,-0.048399
86755,20081121,26.67,0.043427
86755,20081124,28.3,0.061117
86755,20081125,28.17,-0.004594
86755,20081126,29.35,0.041889
86755,20081128,29.12,-0.007836
86755,20081201,26.93,-0.075206
86755,20081202,27.83,0.03342
86755,20081203,28.62,0.028387
86755,20081204,27.81,-0.028302
86755,20081205,28.94,0.040633
86755,20081208,30.08,0.039392
86755,20081209,30.01,-0.002327
86755,20081210,29.91,-0.003332
86755,20081211,29.09,-0.027416
86755,20081212,29.68,0.020282
86755,20081215,29.16,-0.01752
86755,20081216,30.56,0.048011
86755,20081217,30.19,-0.012107
86755,20081218,29.66,-0.017556
86755,20081219,29.86,0.008208
86755,20081222,29.21,-0.021768
86755,20081223,29.06,-0.005135
86755,20081224,29.14,0.002753
86755,20081226,29.13,-0.000343
86755,20081229,28.89,-0.008239
86755,20081230,29.49,0.020768
86755,20081231,29.74,0.008477
86755,20090102,31.03,0.043376
86755,20090105,31.02,-0.000322
86755,20090106,31.33,0.009994
86755,20090107,30.44,-0.028407
86755,20090108,30.76,0.010512
86755,20090109,30.07,-0.022432
86755,20090112,29.52,-0.018291
86755,20090113,29.53,0.000339
86755,20090114,28.63,-0.030478
86755,20090115,29.099,0.016381
86755,20090116,29.42,0.011031
86755,20090120,27.96,-0.049626
86755,20090121,29.15,0.042561
86755,20090122,28.76,-0.013379
86755,20090123,28.9,0.004868
86755,20090126,29.11,0.007266
86755,20090127,29.32,0.007214
86755,20090128,30.35,0.03513
86755,20090129,29.58,-0.025371
86755,20090130,29.06,-0.017579
86755,20090202,29.41,0.012044
86755,20090203,29.87,0.015641
86755,20090204,29.91,0.001339
86755,20090205,30.57,0.022066
86755,20090206,31.37,0.026169
86755,20090209,31.5,0.004144
86755,20090210,30.34,-0.036825
86755,20090211,30.2,-0.004614
86755,20090212,30.57,0.012252
86755,20090213,30.43,-0.00458
86755,20090217,29.22,-0.039763
86755,20090218,29.24,0.000684
86755,20090219,28.79,-0.01539
86755,20090220,28.87,0.002779
86755,20090223,27.86,-0.034984
86755,20090224,28.78,0.033022
86755,20090225,28.59,-0.006602
86755,20090226,27.79,-0.027982
86755,20090227,27.53,-0.009356
86755,20090302,26.64,-0.032328
86755,20090303,26.62,-0.000751
86755,20090304,27.33,0.026672
86755,20090305,26.51,-0.030004
86755,20090306,26.3,-0.007922
86755,20090309,25.74,-0.021293
86755,20090310,27.33,0.061772
86755,20090311,27.75,0.015368
86755,20090312,28.67,0.033153
86755,20090313,28.74,0.002442
86755,20090316,28.26,-0.016701
86755,20090317,29.33,0.037863
86755,20090318,29.7,0.012615
86755,20090319,29.68,-0.000673
86755,20090320,29.18,-0.015199
86755,20090323,30.9,0.058944
86755,20090324,30.331,-0.018414
86755,20090325,30.47,0.004583
86755,20090326,31.41,0.03085
86755,20090327,30.82,-0.018784
86755,20090330,30.06,-0.024659
86755,20090331,30.32,0.008649
86755,20090401,30.77,0.014842
86755,20090402,31.76,0.032174
86755,20090403,32.35,0.018577
86755,20090406,32.27,-0.002473
86755,20090407,31.42,-0.02634
86755,20090408,31.95,0.016868
86755,20090409,32.94,0.030986
86755,20090413,32.89,-0.001518
86755,20090414,32.49,-0.012162
86755,20090415,32.4,-0.00277
86755,20090416,33.24,0.025926
86755,20090417,33.31,0.002106
86755,20090420,32.24,-0.032122
86755,20090421,32.69,0.013958
86755,20090422,32.79,0.003059
86755,20090423,33.11,0.009759
86755,20090424,33.69,0.017517
86755,20090427,33.73,0.001187
86755,20090428,33.48,-0.007412
86755,20090429,33.94,0.01374
86755,20090430,34.28,0.010018
86755,20090501,34.37,0.002625
86755,20090504,35.05,0.019785
86755,20090505,35.02,-0.000856
86755,20090506,35.03,0.000286
86755,20090507,34.21,-0.023408
86755,20090508,34.23,0.000585
86755,20090511,34.35,0.003506
86755,20090512,33.93,-0.012227
86755,20090513,33.02,-0.02682
86755,20090514,33.39,0.011205
86755,20090515,33.37,-0.000599
86755,20090518,34.24,0.026071
86755,20090519,34.4,0.004673
86755,20090520,34.28,-0.003488
86755,20090521,33.65,-0.018378
86755,20090522,33.54,-0.003269
86755,20090526,34.79,0.037269
86755,20090527,34.55,-0.006899
86755,20090528,34.95,0.011577
86755,20090529,35.38,0.012303
86755,20090601,36.39,0.028547
86755,20090602,36.44,0.001374
86755,20090603,36.33,-0.003019
86755,20090604,36.74,0.011285
86755,20090605,36.78,0.001089
86755,20090608,36.67,-0.002991
86755,20090609,36.95,0.007636
86755,20090610,36.82,-0.003518
86755,20090611,36.82,0
86755,20090612,36.65,-0.004617
86755,20090615,35.9,-0.020464
